Ticker,symbol,company_name,sector,sub_industry,daily_mean,daily_vol,annual_return_est,annual_vol_est,min_daily_return,max_daily_return
EXPE,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.0009186505909481556,0.030411454017048645,0.2314999489189352,0.4827668660219218,-0.2738622133795007,0.2456667058754689
HIG,HIG,Hartford (The),Financials,Property & Casualty Insurance,0.0009157486889457454,0.020134400176400648,0.23076866961432782,0.31962369398526685,-0.2121355021788146,0.27695226166452946
OKE,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,0.0009137479978329703,0.027008366229768956,0.23026449545390854,0.428744522172743,-0.3775527363769636,0.33311621665944946
TXN,TXN,Texas Instruments,Information Technology,Semiconductors,0.0009135682691130405,0.02088866384480961,0.2302192038164862,0.33159725852275523,-0.1333984298266846,0.19432107783060837
ACGL,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0.0009135334893053764,0.019171978302543895,0.23021043930495486,0.3043457203779444,-0.1687519548811891,0.15357702500957493
JPM,JPM,JPMorgan Chase,Financials,Diversified Banks,0.0009130374119607899,0.018689511737991674,0.23008542781411906,0.29668680110369117,-0.14964891758460996,0.18012535950340314
AMZN,AMZN,Amazon,Consumer Discretionary,Broadline Retail,0.0009083692089548529,0.021453356667276744,0.22890904065662293,0.3405614791751023,-0.140494377749234,0.13535901735711864
RJF,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,0.0009081454514006888,0.020766683730420673,0.2288526537529736,0.3296608842373452,-0.11589657617517901,0.18944264384427512
COF,COF,Capital One,Financials,Consumer Finance,0.000899231947869999,0.025909043923895803,0.22660645086323974,0.41129332158046433,-0.23874214249795267,0.18754363561648746
PCAR,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,0.000893785253628386,0.017085052197692536,0.22523388391435328,0.27121679550991196,-0.10966442854060887,0.14205601668834622
TJX,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,0.0008933330659669308,0.01766050080819649,0.22511993262366656,0.2803517590040588,-0.20399471210566078,0.1290324280653099
C,C,Citigroup,Financials,Diversified Banks,0.0008805754644459127,0.022878859389820167,0.22190501704037,0.36319063335767476,-0.19298604702281597,0.1798429270632662
DXCM,DXCM,Dexcom,Health Care,Health Care Equipment,0.0008772131885051355,0.03012815743022176,0.22105772350329414,0.47826967212581767,-0.4065832090358631,0.2715517447556879
